LATITUDE,LONGITUDE,NUMBER,X,Y,NAME
1.28232,103.8285719,10129,27471.7385,29417.9509,Blk 121 Kim Tian Rd
1.286191414,103.8068655,10131,25055.9925,29846.0466,Opp Blk 2 Jln Bt Merah
1.286351355,103.8081,10139,25193.3857,29863.7306,Blk 1 Jln Bt Merah
1.285838472,103.8323818,10141,27895.7442,29807.0048,Blk 18 Tiong Bahru Rd
1.286067974,103.8328338,10149,27946.0529,29832.382,Blk 1 Tiong Bahru Rd
1.285720484,103.8285292,10151,27466.9853,29793.9588,Ctrl Green Condo Tiong Bahru Rd
1.285931354,103.8266897,10161,27262.2603,29817.2762,Opp Tiong Bahru Stn Tiong Bahru Rd
1.285999614,103.8274812,10169,27350.3529,29824.8238,Tiong Bahru Stn Tiong Bahru Rd
1.28736808,103.82346,10171,26902.8286,29976.1431,Opp Tiong Bahru Pk Tiong Bahru Rd
1.287223333,103.8239583,10179,26958.2833,29960.1375,Tiong Bahru Pk Tiong Bahru Rd
1.288487712,103.8209448,10181,26622.9083,30099.9474,Bef Ar-Rabitah Mque Tiong Bahru Rd
1.288588052,103.8218319,10189,26721.6331,30111.0421,Blk 104A CP Tiong Bahru Rd
1.288600261,103.8190312,10191,26409.9376,30112.3936,Blk 78 Tiong Bahru Rd
1.288757233,103.8193662,10199,26447.217,30129.7506,Delta Swim Cplx Tiong Bahru Rd
1.289281445,103.8166285,10201,26142.5413,30187.7171,Opp Redhill Stn Tiong Bahru Rd
1.289546318,103.8167289,10209,26153.7048,30217.0053,Redhill Stn Tiong Bahru Rd
1.290755,103.8114417,10211,25565.287,30350.6596,Porsche Ctr S`pore Leng Kee Rd
1.290895267,103.8119142,10219,25617.8814,30366.1691,Opp Motor Image Leng Kee Rd
1.290329066,103.8311179,10221,27755.087,30303.5516,Ganges Ctr Ganges Ave
1.290521379,103.8317819,10229,27828.9802,30324.8165,Opp Harvest Mansions Ganges Ave
1.29041613,103.8279143,10231,27398.5515,30313.1792,Blk 51 CP Ganges Ave
1.290618786,103.8286601,10239,27481.5526,30335.5877,Blk 79 Ganges Ave
1.290616667,103.8236233,10241,26920.9948,30335.355,Gan Eng Seng Sec Sch Alexandra Rd
1.290881389,103.8240778,10249,26971.578,30364.6264,Opp Gan Eng Seng Sec Sch Alexandra Rd
1.290903358,103.8204723,10261,26570.3225,30367.0574,Delta Sports Hall Alexandra Rd
1.291253319,103.8205758,10269,26581.8418,30405.7542,Opp Delta Sports Hall Alexandra Rd
1.29116,103.8175767,10271,26248.0603,30395.4373,Opp Tanglin View Alexandra Rd
1.291513732,103.8175766,10279,26248.0541,30434.5512,Tanglin View Alexandra Rd
1.291538333,103.8144517,10281,25900.2749,30437.2738,SIS Bldg Alexandra Rd
1.291869975,103.8144064,10289,25895.2367,30473.9451,Opp SIS Bldg Alexandra Rd
1.292158553,103.8106587,10291,25478.1465,30505.858,Bef Dawson Rd Alexandra Rd
1.292334984,103.8114649,10299,25567.8706,30525.3661,Aft Dawson Rd Alexandra Rd
1.296776633,103.8100724,10301,25412.9027,31016.5021,Opp Blk 108 Margaret Dr
1.296528314,103.8104302,10309,25452.72,30989.0439,Blk 118 Margaret Dr
1.295587255,103.8131778,10311,25758.5065,30884.9838,Opp Queenstown Sec Sch Margaret Dr
1.294028056,103.8142083,10319,25873.1888,30712.5748,Queenstown Sec Sch Margaret Dr
1.29428333,103.8158784,10321,26059.06,30740.8003,Aft Margaret Dr Tanglin Rd
1.293646713,103.8159746,10329,26069.7659,30670.4064,Crescent Girls` Sch Tanglin Rd
1.281363067,103.8183442,10331,26333.4773,29312.1425,Bef Bt Merah Ctrl Henderson Rd
1.281158351,103.8185725,10339,26358.8825,29289.5059,Aft Bt Merah Ctrl Henderson Rd
1.284846396,103.820593,10341,26583.7504,29697.3097,Opp Blk 116 Henderson Rd
1.284983341,103.8210415,10349,26633.6627,29712.4521,Blk 116 Henderson Rd
1.286755018,103.8220499,10351,26745.8908,29908.3545,Bef Tiong Bahru Rd Henderson Rd
1.287238334,103.822593,10359,26806.3322,29961.7968,Aft Tiong Bahru Rd Henderson Rd
1.280380921,103.8235303,10361,26910.6393,29203.5391,Cendex Ctr Lower Delta Rd
1.280374711,103.8238734,10369,26948.8326,29202.8523,Opp Cendex Ctr Lower Delta Rd
1.283650723,103.8245027,10371,27018.8603,29565.0965,Blk 129 Lower Delta Rd
1.283736034,103.8248952,10379,27062.5485,29574.5296,Blk 25B Lower Delta Rd
1.289069721,103.8255941,10381,27140.333,30164.301,Opp Blk 48 Lower Delta Rd
1.28875833,103.8257346,10389,27155.9619,30129.8689,Blk 48 Lower Delta Rd
